name,owner_name,url,description,created,updated,watchers,language,topics,forks
0xvpr/Vipers-Public-Backdoor-1,0xvpr,https://github.com/0xvpr/Vipers-Public-Backdoor-1,"An Intermediate level backdoor that utilizes HTTP/TCP sockets, light Caesar cypher encryption & more.",2021-04-11 01:56:27,2021-08-14 02:52:13,3,C,"virus,malware,tcp-sockets,shell",0
1-5Pool/IITKanpur_hackathon,1-5Pool,https://github.com/1-5Pool/IITKanpur_hackathon,IIT Kanpur in collaboration with HCL organized a Cybersecurity hackathon in which the participants had to create a working solution of cyber security problems. ,2021-02-18 13:42:31,2021-09-27 11:23:36,2,Jupyter Notebook,"iitk,hackathon,cybersecurity,malware-detection,machine-learning,ddos-detection",0
14coruma/NMT_REU_2018,14coruma,https://github.com/14coruma/NMT_REU_2018,Source code from 2018 NMT REU PDF malware detection project,2018-08-11 03:01:21,2021-06-10 13:58:45,0,Python,"malware-detection,pdf,reu,python3,image-classification,machine-learning",3
18z/viper-research,18z,https://github.com/18z/viper-research,Notes of researching every commit of Viper-framework (static analysis of malware),2016-09-19 08:24:09,2019-10-23 17:24:41,9,Python,"notes,malware-analysis,static-analysis",1
1arvind/Clipboard-malware,1arvind,https://github.com/1arvind/Clipboard-malware,A small clipboard malware that uses defined regex pattern and make changes in clipboard whenever victim copies any text string. ,2019-11-03 07:11:20,2021-05-27 07:35:48,2,Python,malware,3
1captainnemo1/DLLREVERSESHELL,1captainnemo1,https://github.com/1captainnemo1/DLLREVERSESHELL,"A CUSTOM CODED FUD DLL, CODED IN C , WHEN LOADED , VIA A DECOY WEB-DELIVERY MODULE( FIRING A DECOY PROGRAM), WILL GIVE A REVERSE SHELL (POWERSHELL) FROM THE VICTIM MACHINE TO THE ATTACKER CONSOLE , OVER LAN AND WAN.",2019-05-30 04:09:53,2021-08-19 22:29:16,24,C,"reverse-shell,fud,evade,av-evasion,av-bypass,custom-reverseshell,c-reverseshell,backdoor-attacks,backdoors-created,malware-sample,antivirus-evasion,antiviral-resistance,trojan-malware,trojan-rat,trojan",9
1d8/BackLin,1d8,https://github.com/1d8/BackLin,,2020-06-20 08:13:32,2021-05-12 12:41:35,2,Python,"linux,malware-research,python3",0
1d8/CompromisedBlueBox,1d8,https://github.com/1d8/CompromisedBlueBox,A RAT that abuses Dropbox's API for C&C Communication,2021-01-22 20:46:36,2021-07-25 04:03:50,6,Go,"malware,research-project",2
1d8/Coqui,1d8,https://github.com/1d8/Coqui,Bare Bones Banking malware coded for research & educational purposes,2020-08-20 17:55:58,2021-08-31 00:11:07,72,C,"malware,keylogger",15
1d8/bstry,1d8,https://github.com/1d8/bstry,"Nimlang ""Ransomware"" Malware For Linux",2021-01-13 03:34:50,2021-09-22 06:18:19,16,Nim,"malware,ransomware,research-project,nim-lang,linux",2
1d8/pysock,1d8,https://github.com/1d8/pysock,"""reverse shell"" in python",2020-06-08 04:40:21,2021-09-07 16:59:36,6,Python,"hacking,python,python3,malware-research",1
1d8/spybrowse,1d8,https://github.com/1d8/spybrowse,"Code developed to steal certain browser config files (history, preferences, etc)",2020-07-25 02:39:16,2021-06-11 17:38:26,60,C,"c,research-project,malware",14
1d8/teleRAT,1d8,https://github.com/1d8/teleRAT,Telegram RAT written in Python,2021-03-17 22:37:39,2021-10-05 22:11:00,80,Python,"malware,malware-research,python,remote-admin-tool,rat",14
1paton/nweaRansomware,1paton,https://github.com/1paton/nweaRansomware,NWEA's Map Test Lock Down Browser that has been reconfigured to be used as Ransomeware(macOS),2019-03-22 00:45:57,2021-03-12 07:33:32,2,Objective-C,"applescript,malware,malware-research,exploitation,ransomware,macos,mac,java,sparkle,plugin,nwea,bugbounty,bug",1
3c7/bazaar,3c7,https://github.com/3c7/bazaar,Python based CLI for MalwareBazaar,2021-06-10 19:45:48,2021-10-03 14:31:01,12,Python,"malware,bazaar,cli,api",2
3c7/larva,3c7,https://github.com/3c7/larva,"Larva, the commandline client for TheHive: https://github.com/CERT-BDF/TheHive",2017-07-06 15:39:53,2018-10-28 20:33:21,3,Python,"incident,handling,thehive,cortex,command,line,bash,malware,respone,infosec",0
4B4DB4B3/B4DB4B3-RAT,4B4DB4B3,https://github.com/4B4DB4B3/B4DB4B3-RAT,Program for remote computer management with Telegram on native C++ - by B4DB4B3,2020-10-16 17:36:32,2021-09-03 16:55:35,55,C++,"b4db4b3-rat,telegram-rat,virus,remote-administration-tool,b4b3-rat,badbabe-rat,babe-rat,rat,telegram,telegram-virus,botnet,loader,malware,telegram-botnet,injector,remote-injector,telegram-malware,cpp-malware,cpp-telegram,cpp-tg",19
4B4DB4B3/SayCheese,4B4DB4B3,https://github.com/4B4DB4B3/SayCheese,"Fastest malware, which send victim photo from camera on your HTTP-panel",2021-05-18 02:39:29,2021-09-18 16:01:34,4,Assembly,"saycheese,camera,cheese,capture-photo,fasm,assembler,malware,http",1
64kramsystem/palware,64kramsystem,https://github.com/64kramsystem/palware,My Paleolithic (DOS-era) malware disassemblies!,2017-11-21 19:13:38,2021-09-12 17:46:41,8,Assembly,"asm,malware-analysis,virus-dos,virus,malware,dos",3
9-s3c/pyloader,9-s3c,https://github.com/9-s3c/pyloader,simple automated Python to exe converter,2021-05-04 01:57:48,2021-05-29 07:36:42,1,C,"python,python3,rat,malware,pentesting",0
9aylas/Pegasus-samples,9aylas,https://github.com/9aylas/Pegasus-samples,"Here's samples of android/ios spyware named ""Pegasus"" made by the NSOGROUP",2021-07-27 03:16:09,2021-10-06 00:32:16,26,,"pegasus,spyware,malware,malware-analysis,android,ios,nsogroup,samples,cybersecurity,cyberthreatintelligence",11
9aylas/Shortcut-Payload-Generator,9aylas,https://github.com/9aylas/Shortcut-Payload-Generator,"AutoIt HackTool, Shortcuts .lnk Payloads Generator As LNK-KISSER.",2017-12-23 21:56:08,2021-09-11 07:53:59,78,AutoIt,"payload,shortcut-payloads,hacktools,malware-gen,exploit-kit,malware-generator,powershell,autoit,autoit3-script,au3,powershell-payload",22
AAH20/Binance-APK-Analysis,AAH20,https://github.com/AAH20/Binance-APK-Analysis,Revealing secrets behind Binance Crypto Exchange platform through Android APK Analysis,2021-08-10 17:09:48,2021-10-06 12:07:03,1,,"reverse-engineering,malware-analysis,quark,virustotal,jadx",0
AAH20/Bitdefender-APK-Analysis,AAH20,https://github.com/AAH20/Bitdefender-APK-Analysis,Hunting for Hidden info through reverse engineering android apks with open source tools.,2021-08-04 17:56:59,2021-08-16 17:43:19,0,,"reverse-engineering,malware-analysis,quark,jadx-gui,virustotal",0
AFAgarap/malware-classification,AFAgarap,https://github.com/AFAgarap/malware-classification,Towards Building an Intelligent Anti-Malware System: A Deep Learning Approach using Support Vector Machine for Malware Classification,2017-11-27 16:03:21,2021-10-05 06:35:56,111,Python,"convolutional-neural-networks,support-vector-machine,tensorflow,classification,image-classification,artificial-neural-networks,machine-learning,supervised-learning,artificial-intelligence,malware-detection,computer-vision,deep-learning,multilayer-perceptron,recurrent-neural-networks,gated-recurrent-units",64
AFAgarap/pt-datasets,AFAgarap,https://github.com/AFAgarap/pt-datasets,"PyTorch dataset loader for image, text, malware, and medical classification datasets",2020-11-01 05:03:58,2021-07-12 10:03:47,4,Python,"python,pytorch,datasets,image-classification,classification,machine-learning,artificial-intelligence,neural-networks,deep-learning,tsne,encoder,computer-vision,malware-classification,covid-19,chest-radiography",1
AHXR/ghost,AHXR,https://github.com/AHXR/ghost,:ghost: RAT (Remote Access Trojan) - Silent Botnet - Full Remote Command-Line Access - Download & Execute Programs - Spread Virus' & Malware,2017-12-09 18:46:03,2021-10-06 20:08:12,379,C++,"malware,rat,hacking,backdoor,remote,trojan,remote-access,remote-access-trojan,remote-access-tool,windows,botnet",146
AHXR/maskedkitty,AHXR,https://github.com/AHXR/maskedkitty,":scream_cat: Icon Changer, File Pumper & Extension Spoofer - Quickly Modify Executable Files ",2018-02-11 23:00:16,2021-09-18 16:15:43,30,C++,"malware,icon-changer,resource-manager,resource-loader,icon-loader,extension-spoofer,file-pumper,file-manager",13
ALFA-group/adv-malware-viz,ALFA-group,https://github.com/ALFA-group/adv-malware-viz,"Code repository for the paper ""On Visual Hallmarks of Robustness to Adversarial Malware""",2018-05-09 13:56:23,2021-08-26 12:28:38,5,Python,"adversarial-example,visualization,deep-learning,malware",6
ALFA-group/robust-adv-malware-detection,ALFA-group,https://github.com/ALFA-group/robust-adv-malware-detection,"Code repository for the paper ""Adversarial Deep Learning for Robust Detection of Binary Encoded Malware""",2018-01-04 22:08:24,2021-08-26 12:28:09,70,Python,"deep-learning,malware,binary-encoded,adversarial-networks,adversarial-machine-learning,cybersecurity,optimization,saddlepoint-approximation",36
ANSSI-FR/SecuML,ANSSI-FR,https://github.com/ANSSI-FR/SecuML,Machine Learning for Computer Security,2016-09-05 08:15:59,2021-09-07 09:52:49,234,Python,"machine-learning,intrusion-detection,interactive-machine-learning,active-learning,rare-category-detection,malware-detection,gui",59
ANSSI-FR/polichombr,ANSSI-FR,https://github.com/ANSSI-FR/polichombr,Collaborative malware analysis framework,2016-05-31 18:54:28,2021-10-02 22:11:41,318,Python,"malware-analysis,reverse-engineering,ida,idapro,malware-research,security-tools,ida-plugin",58
APKLab/APKLab,APKLab,https://github.com/APKLab/APKLab,Android Reverse-Engineering Workbench for VS Code,2020-05-09 17:18:38,2021-10-08 02:33:14,767,TypeScript,"apktool,apk-decompiler,apk-editor,smali,dalvik,smalidea,apksigner,apk-studio,android,jadx,reverse-engineering,bytecode,mitm,malware-analysis,app-analyzer,malware-detection,uber-apk-signer,https-inspection",111
AandersonL/bazzar,AandersonL,https://github.com/AandersonL/bazzar,A CLI client for malware bazzar and urlhaus feed,2021-03-15 20:22:16,2021-04-26 16:57:19,2,Go,"threat-intelligence,threat-hunting,malware-analysis,malware-research,golang-application",0
AandersonL/x64dbg-ASLR-Removal,AandersonL,https://github.com/AandersonL/x64dbg-ASLR-Removal,Plugin to patch and remove ASLR from PE files on x64dbg,2020-09-03 17:08:09,2021-07-30 09:57:48,9,C,"x64dbg,x64dbg-plugin,reverse-engineering,malware-analysis,debugging",2
Aaron-Akhtar/Defective-Malware,Aaron-Akhtar,https://github.com/Aaron-Akhtar/Defective-Malware,Malware I developed.....,2020-02-05 22:49:17,2021-09-03 18:06:22,1,Java,"malware,java,java-8,hacking,rat",1
Aaron-Akhtar/Jaguar,Aaron-Akhtar,https://github.com/Aaron-Akhtar/Jaguar,Just better SSH Bruteforcing.,2021-07-20 19:27:06,2021-10-06 12:59:06,2,Java,"ssh,java,proxy,bruteforce,scanning,malware",0
Aaron-Akhtar/Pollyware,Aaron-Akhtar,https://github.com/Aaron-Akhtar/Pollyware,Pollyware is a piece of malware I developed for the purpose of giving the malware controller the ability to get the system information for that specific machine.,2020-04-06 10:10:04,2021-10-06 12:59:42,1,Java,"java,malware,malware-development",2
Aaron-Akhtar/SideD00r,Aaron-Akhtar,https://github.com/Aaron-Akhtar/SideD00r,"You have a Front Door, a Backdoor, why not a SideD00r...",2021-05-17 02:11:21,2021-10-06 12:58:57,2,Java,"malware,backdoor,sidedoor,java,remote,shell,ssh,root",0
Aaron-Akhtar/jBot,Aaron-Akhtar,https://github.com/Aaron-Akhtar/jBot,"Essentially, the base of a Botnet, Any Botnet.",2021-08-02 22:05:57,2021-10-05 12:02:47,3,Java,"jbot,botnet,tool,malware,cnc,server,tcp",3
Aaron-Akhtar/jBot-Archived,Aaron-Akhtar,https://github.com/Aaron-Akhtar/jBot-Archived,Java Botnet - Unfinished - Probably Discontinued,2020-03-01 17:38:11,2021-10-06 12:57:56,2,Java,"botnet,java,malware,cryptography,java-botnet,jbot",2
AaronDou/MadeCR,AaronDou,https://github.com/AaronDou/MadeCR,Malware Detection for Cognitive Radio Networks,2018-01-31 22:06:52,2021-03-26 10:19:43,2,Python,"malware-detection,cognitive-radio",2
AbertayMachineLearningGroup/CryptoKnight,AbertayMachineLearningGroup,https://github.com/AbertayMachineLearningGroup/CryptoKnight,Cryptographic Dataset Generation & Modelling Framework,2018-09-02 15:15:32,2021-08-25 05:56:39,27,Python,"cryptography,deep-learning,deep-neural-networks,machine-learning,reverse-engineering,malware-analysis,dynamic-analysis,framework,academic-project,research,threatintel,linux,elf,openssl",10
Abonnen/Malicious_TLS_Detection,Abonnen,https://github.com/Abonnen/Malicious_TLS_Detection,The project is to detect malware traffic in TLS flows using ML,2019-06-10 07:21:10,2021-07-01 13:13:47,18,Python,"malware-detection,traffic-analysis,machine-learning",8
AdrielFreud/AntVirus-Check-Your-Hash,AdrielFreud,https://github.com/AdrielFreud/AntVirus-Check-Your-Hash,Confira sua hash e de outros virus com esse script,2018-06-20 04:51:24,2020-01-15 21:01:38,1,Python,"check-hash,malware-analysis,hash,hashing",0
AdrielFreud/Ransomwares,AdrielFreud,https://github.com/AdrielFreud/Ransomwares,,2018-08-23 03:45:41,2020-10-30 14:31:07,8,Python,"ransomwares,malware,languages",5
AdrielFreud/Reverse-Connection-NJRat,AdrielFreud,https://github.com/AdrielFreud/Reverse-Connection-NJRat,learn Connnection Reverse,2018-03-01 23:53:29,2021-08-12 16:31:10,3,Python,"reverse-connection,malware-analysis",0
AdroitAdorKhan/EnergizedProtection,AdroitAdorKhan,https://github.com/AdroitAdorKhan/EnergizedProtection,A merged collection of hosts from reputable sources. #StayEnergized!,2018-04-25 06:39:16,2021-10-08 02:10:14,189,Shell,"adblock,ad-block,ad-blocker,malware,spam,porn",24
AdroitAdorKhan/antipopads-re,AdroitAdorKhan,https://github.com/AdroitAdorKhan/antipopads-re,block pesky malicious pop ads.,2021-09-24 07:27:53,2021-10-08 04:04:16,1,,"ads,pop-ads,malware,adblock",0
Aekras1a/Updated-Carbanak-Source-with-Plugins,Aekras1a,https://github.com/Aekras1a/Updated-Carbanak-Source-with-Plugins,https://twitter.com/itsreallynick/status/1120410950430089224,2019-04-22 21:01:08,2021-09-25 02:44:45,322,C++,"malware,carbanak,banking,malicious,source,code,builder",200
AhmedMinegames/MineDebugHider,AhmedMinegames,https://github.com/AhmedMinegames/MineDebugHider,Anti Anti-Debug Tool Made in C#.,2021-10-01 21:15:01,2021-10-03 19:34:12,0,C#,"anti-debugging,anti-anti-debug,anti-debug,x32dbg,x64dbg,csharp,minedebughider,reverse-engineering,malware,malware-analysis,debugging",0
AhmedRaja1/Malware-Development,AhmedRaja1,https://github.com/AhmedRaja1/Malware-Development,Malware Development,2020-05-12 10:56:38,2021-08-22 16:02:06,4,C,"malware-development,malware,malware-analysis,malware-research,cybersecurity",1
AhsanAyub/deep_static_ransomware_analysis,AhsanAyub,https://github.com/AhsanAyub/deep_static_ransomware_analysis,To perform Deep Learning techniques on the PE file meta-data of the ransomware samples and the benign samples to perform binary classification tasks,2021-10-07 15:23:27,2021-10-07 15:27:39,0,,"ransomware,static-malware-analysis,deep-learning,classification",0
AhsanAyub/irp-logs-mining,AhsanAyub,https://github.com/AhsanAyub/irp-logs-mining,This repo is created to perform data mining techniques on malicious and benign I/O Request Packet (IRP) logs on Windows machine to extract useful pieces of information to build a ransomware detection scheme.,2020-01-22 23:42:33,2021-06-28 12:34:50,1,Python,"machine-learning,data-mining,irp-logs,malware-analysis,ransomware-detection,security,data-science",1
AhsanAyub/malicious_domains_dga_detection,AhsanAyub,https://github.com/AhsanAyub/malicious_domains_dga_detection,The repository is created in pursuit of detecting malware-based domain names that were generated using DGA.,2019-03-04 02:31:20,2021-07-22 06:15:37,5,Python,"malware,machine-learning,word2vec,lstm,neural-network,domain-generation-algorithm",5
AirEvan/csharp-ShellcodeLoader,AirEvan,https://github.com/AirEvan/csharp-ShellcodeLoader,基于csharp实现的免杀shellcode加载器,2021-04-17 09:29:39,2021-09-10 05:05:15,15,C#,"bypass,shellcode,bypass-antivirus,hacking-tool,shellcode-loader,malware",2
Akalabaya/Advanced-threat-response-for-Evotin-2000,Akalabaya,https://github.com/Akalabaya/Advanced-threat-response-for-Evotin-2000,"This is a project to analyze files to generate procmon logs,windump pcap,and extact codechunks and analyze",2021-09-11 06:08:54,2021-09-12 08:12:50,1,Python,"cybersecurity,malware-analysis,sandboxie,python3,processmonitoring",0
Akhilesh64/Android-Malware-Detection,Akhilesh64,https://github.com/Akhilesh64/Android-Malware-Detection,Detection of Android Malware based on system calls using Support Vector Machines.,2020-11-04 11:42:26,2021-09-28 05:35:01,5,Jupyter Notebook,"android-malware,android-malware-detection,machine-learning,feature-selection,data-science,data-analysis",3
AlexComputerWiz/cyber-toolkit,AlexComputerWiz,https://github.com/AlexComputerWiz/cyber-toolkit,"The grand master offensive security toolkit, complete with scripts, malware, and other fun exploits.",2020-12-01 05:33:25,2020-12-01 05:34:58,0,,"cybersecurity,cyber,cyber-security,cyber-threat-intelligence,offensive-security,hacking-tools,hacking,python,malware-analysis",0
AliRezaBeigy/AdHosts,AliRezaBeigy,https://github.com/AliRezaBeigy/AdHosts,"A script to generate fresh hosts to block ads, tracking and malware domains",2020-08-18 09:25:22,2020-08-19 10:27:55,1,,"ad-blocker,hosts,malwares,malwares-domains,tracking",1
AlirezaChegini/AndroidMalwareAnalysisScripts,AlirezaChegini,https://github.com/AlirezaChegini/AndroidMalwareAnalysisScripts,AndroidMalwareAnalysisScripts,2019-03-22 16:41:41,2019-08-03 17:42:43,0,Python,"android-malware,malware-analysis",0
AllsafeCyberSecurity/malware-analysis-at-scale-defeating-emotet-by-ghidra,AllsafeCyberSecurity,https://github.com/AllsafeCyberSecurity/malware-analysis-at-scale-defeating-emotet-by-ghidra,Ghidra Script for automated analysis of EMOTET,2021-02-03 02:12:39,2021-05-08 14:26:30,6,Python,"malware-analysis,reverse-engineering,ghidra",1
AlysonBee/URL_integrity_scanner,AlysonBee,https://github.com/AlysonBee/URL_integrity_scanner,Implementation of a URL virus/malware scanner using the VirusTotal API,2019-05-12 11:00:14,2020-11-28 15:48:47,4,HTML,"security,malware,python,flask,virus-total-api,demo",1
Am0rphous/Awesome,Am0rphous,https://github.com/Am0rphous/Awesome,Awesome collection of resources 😎,2020-09-13 17:47:14,2021-10-07 11:28:35,11,Shell,"awesome,awesome-list,awesomeness,ubuntu,iot,raspberry-pi-os,kvm,security,forensics,malware-analytics,reverse-engineering,sysadmin,pen-testing,forensic,operating-systems,raspberry-pi,macos",1
Am0rphous/Malware,Am0rphous,https://github.com/Am0rphous/Malware,CAUTION - Malicious files 💀,2020-08-20 14:45:36,2021-09-14 18:12:13,19,PHP,"php,wordpress,exploit,malware,infected,trojan,html-exploit,hta-exploit",8
AmmoniteFilter/AmmoniteFilter,AmmoniteFilter,https://github.com/AmmoniteFilter/AmmoniteFilter,The family filter for AdGuard Home🔮,2018-12-17 18:24:58,2021-10-01 15:52:04,10,,"adguard,adblock,filter,dns,privacy,tracking,ads,malware,spyware,phishing,domains,adware,telemetry,blocklist,advertising,banners,metrics,family,counters,cryptojacking",1
AmmoniteFilter/TrilobiteFilter,AmmoniteFilter,https://github.com/AmmoniteFilter/TrilobiteFilter,The security filter for AdGuard Home ☣️,2021-04-24 17:31:14,2021-10-01 16:00:23,9,,"dns,phishing,malware,spyware,malicious,adblock,blocklist,filter,adguard,security,fraud,threat,intellegence,list,hosts,scam,ransomware,iocs,spam,fake",3
Amrita-TIFAC-Cyber-Blockchain/Blockchain-and-Malware,Amrita-TIFAC-Cyber-Blockchain,https://github.com/Amrita-TIFAC-Cyber-Blockchain/Blockchain-and-Malware,Exploration Study of Malware in Blockchain.,2020-09-18 10:18:52,2020-10-01 17:25:46,0,HTML,"malware,malware-research,blockchain,security,security-tools",0
Ananya-0306/infected_virus,Ananya-0306,https://github.com/Ananya-0306/infected_virus,Python virus that will make your pc paralyzed once it opened :D,2021-06-10 09:56:43,2021-06-10 09:58:40,0,Python,"virus,hacking,malware-detection,infected-files,payloads",1
Ananya-0306/ninja_virus,Ananya-0306,https://github.com/Ananya-0306/ninja_virus,malicious place of code (payload),2021-06-10 08:24:09,2021-06-10 10:00:04,0,Python,"malware-detection,ethical-hacking-tools,virus-discovery",1
AndreaNaspi/WhiteRabbitTracker,AndreaNaspi,https://github.com/AndreaNaspi/WhiteRabbitTracker,WhiteRabbitTracker: Analyzing malware evasions with information flow tracking,2021-03-03 17:31:18,2021-09-24 09:04:00,8,C++,"security,malwareanalysis,dynamic-analysis,intel-pin,taint-analysis,taint-tracking,taint,libdft",0
AnimeshShaw/python-malshare,AnimeshShaw,https://github.com/AnimeshShaw/python-malshare,Complete implementation of the Malshare API and a toolkit to interact with it,2018-04-17 03:37:54,2021-08-22 13:59:14,5,Python,"malshare,malshare-api,malware,malware-samples,malwareanalysis,malware-research,virustotal",4
